108 862,59,897,650,716
109 937,558,136,131,460
110 74,827,353,920,616
111 36,451,489,587,853
112 170,510,812,853,451
113 471,620,541,642,712
114 861,909,884,585,565
115 637,634,938,26,141
116 691,575,153,753,488
117 755,853,446,173,451
118 441,834,26,432,104
119 16,823,194,301,293
120 202,212,781,902,360
121 858,784,112,616,404
122 100,863,489,587,724
123 803,446,755,853,587
124 628,853,446,173,451
125 166,258,856,356,143
126 594,131,590,136,558
127 302,431,853,446,755
128 932,312,840,716,60
129 67,614,938,168,141
130 168,938,141,26,552
131 893,938,26,403,703
132 362,772,317,816,853
133 271,474,716,151,18
134 558,136,937,131,460
135 378,864,457,92,222
136 395,549,231,714,674
137 555,569,26,634,938
138 916,94,429,293,896
139 197,826,600,8,600
140 354,18,151,474,716
141 742,432,26,66,714
142 590,733,460,131,634
143 754,935,120,438,66
144 483,584,127,702,603
145 318,210,194,398,716
146 851,294,624,104,26
147 489,587,451,853,529
148 392,116,464,683,853
149 92,457,864,378,222
150 855,585,565,884,861
151 346,682,551,301,276
152 381,189,840,312,848
153 890,350,843,650,313
154 25,913,748,738,899
155 364,824,140,926,155
156 178,551,682,301,222
157 218,315,264,361,327
158 382,71,123,6,474
159 32,432,26,793,938
160 874,266,558,136,131
161 350,890,843,650,313
162 263,488,454,716,313
163 818,229,656,112,616
164 768,432,26,938,141
165 759,265,703,706,938
166 26,432,938,141,168
167 657,17,540,26,634
168 542,933,301,109,222
169 157,637,634,26,938
170 70,807,275,290,738
171 300,170,510,812,853
172 754,935,120,438,66
173 552,141,938,26,168
174 347,521,301,109,435
175 656,229,673,574,784
176 358,855,585,565,884
177 872,190,396,141,938
178 921,882,897,200,881
179 700,124,41,96,77
180 436,618,128,42,864
181 811,400,515,589,258
182 417,109,92,222,276
183 573,694,60,716,474
184 759,265,703,706,938
185 668,673,111,915,784
186 860,112,856,616,356
187 731,398,716,313,194
188 717,26,938,141,552
189 754,935,120,438,66
190 582,26,938,141,552
191 637,634,938,26,141
192 622,301,222,109,92
193 632,618,864,301,457
194 769,137,403,714,938
195 709,37,217,619,671
196 734,850,538,488,454
197 888,376,419,874,71
198 780,298,694,716,313
199 750,853,755,529,587
200 34,681,515,281,589
201 497,394,472,109,222
202 345,378,43,593,416
203 26,432,938,141,168
204 301,682,551,276,222
205 292,908,96,567,840
206 935,438,120,66,714
207 695,820,105,898,408
208 290,738,44,804,650
209 70,807,275,290,738
210 694,716,313,60,650
211 269,308,474,59,406
212 371,263,313,716,650
213 315,218,264,361,327
214 297,447,178,606,347
215 182,703,432,26,938
216 709,37,217,619,671
217 416,532,178,551,682
218 704,312,840,932,716
219 752,863,724,489,587
220 799,811,400,515,258
221 833,643,308,293,429
222 65,271,474,716,151
223 860,112,856,616,356
224 298,716,313,194,892
225 671,217,37,619,600
226 847,897,882,290,804
227 298,716,313,194,892
228 187,615,85,18,840
229 497,394,472,109,222
230 655,201,327,537,561
231 844,484,705,746,757
232 927,472,222,109,301
233 44,738,290,804,650
234 478,216,453,632,301
235 661,748,738,899,64
236 877,361,878,639,18
237 711,437,18,151,716
238 717,26,938,141,552
239 717,26,938,141,552
240 566,301,194,892,313
241 314,222,682,551,109
242 20,882,897,200,290
243 733,460,486,634,569
244 584,127,702,603,127
245 2,701,931,413,834
246 249,327,889,916,429
247 732,740,755,791,173
248 803,446,755,853,587
249 95,311,194,846,313
250 514,738,64,899,521
251 501,793,26,432,938
252 700,124,41,96,77
253 756,484,705,56,746
254 665,606,347,178,521
255 724,863,489,587,451
256 538,786,738,64,484
257 420,558,136,131,937
258 328,788,627,551,896
259 798,642,393,472,222
260 325,6,18,474,271
261 229,410,112,616,827
262 106,65,271,474,18
263 565,585,855,884,861
264 292,908,96,567,840
265 142,729,166,258,356
266 452,474,716,308,18
267 381,189,840,312,848
268 416,532,178,551,682
269 538,786,738,64,484
270 478,216,453,632,301
271 940,913,538,738,748
272 118,367,368,604,814
273 126,258,589,856,772
274 619,217,37,671,600
275 221,886,682,551,301
276 740,812,853,510,451
277 594,131,590,136,558
278 832,510,170,853,812
279 269,308,474,59,406
280 704,312,840,932,716
281 614,938,141,26,634
282 244,457,92,222,109
283 62,457,378,864,92
284 393,682,551,276,222
285 125,476,336,542,87
286 330,716,313,194,311
287 872,190,396,141,938
288 346,682,551,301,276
289 742,432,26,66,714
290 210,643,407,650,313
291 220,282,107,529,105
292 338,321,18,474,840
293 221,886,682,551,301
294 727,497,435,472,394
295 778,124,738,521,484
296 583,913,14,6,474
297 352,421,96,538,913
298 481,208,591,398,716
299 319,241,920,284,784
300 365,63,569,634,26
301 739,785,867,538,748
302 384,820,898,408,105
303 243,106,65,18,271
304 886,682,551,301,276
305 937,558,136,131,460
306 856,356,143,112,616
307 406,59,308,474,716
308 275,807,70,290,738
309 673,111,784,171,574
310 656,229,673,574,784
311 482,485,547,146,673
312 312,840,932,716,60
313 284,784,112,574,775
314 778,124,738,521,484
315 153,8,197,826,600
316 728,722,26,938,141
317 169,350,890,694,60
318 587,489,451,853,529
319 900,518,349,634,906
320 854,592,249,606,178
321 211,488,263,454,716
322 262,43,378,864,457
323 520,258,126,856,112
324 267,268,497,394,727
325 741,42,618,864,378
326 938,141,26,552,168
327 256,332,374,92,109
328 125,476,336,542,87
329 74,827,353,920,616
330 143,356,856,112,616
331 654,43,344,345,593
332 180,899,514,738,64
333 829,884,565,585,855
334 9,651,173,446,47
335 286,417,268,276,92
336 499,840,312,716,474
337 775,574,284,784,171
338 292,908,96,567,840
339 863,724,489,587,451
340 454,716,474,151,271
341 186,332,256,374,92
342 267,268,497,394,727
343 650,843,7,313,716
344 402,703,403,938,26
345 16,823,194,301,293
346 448,574,171,284,784
347 837,708,938,168,141
348 748,867,488,263,538
349 474,271,716,151,18
350 56,109,933,301,222
351 647,484,705,56,109
352 321,18,474,271,716
353 570,47,173,446,451
354 244,457,92,222,109
355 867,748,488,263,538
356 11,271,474,59,537
357 489,587,451,853,529
358 44,738,290,804,650
359 210,643,407,650,313
360 45,101,938,168,714
361 382,71,123,6,474
362 53,714,580,168,938
363 121,910,120,935,66
364 717,26,938,141,552
365 520,258,126,856,112
366 680,730,432,26,703
367 472,394,497,109,222
368 271,474,716,151,18
369 748,867,488,263,538
370 265,706,703,759,938
371 606,347,521,301,109
372 657,17,540,26,634
373 248,177,867,538,748
374 779,689,714,879,674
375 548,26,938,141,168
376 79,662,735,266,413
377 401,716,313,398,194
378 759,265,703,706,938
379 181,486,634,624,26
380 158,638,22,746,600
381 704,312,840,932,716
382 499,840,312,716,474
383 922,472,394,109,301
384 565,585,855,884,861
385 252,390,735,413,266
386 147,284,784,171,574
387 71,382,123,6,474
388 794,581,558,136,131
389 170,510,812,853,451
390 370,704,312,840,474
391 15,26,938,141,552
392 663,99,624,104,294
393 922,472,394,109,301
394 875,214,913,177,327
395 525,938,714,168,403
396 250,177,327,249,297
397 738,44,290,804,650
398 333,263,488,454,716
399 320,757,715,301,521
400 190,423,164,396,717
401 87,933,301,109,56
402 99,663,624,104,294
403 352,421,96,538,913
404 872,190,396,141,938
405 900,518,349,634,906
406 865,357,101,938,168
407 543,889,916,429,94
408 761,703,938,168,403
409 308,474,716,151,59
410 257,884,861,909,855
411 131,590,733,460,634
412 437,18,151,716,474
413 301,682,551,276,222
414 303,276,92,222,109
415 515,258,589,281,853
416 734,850,538,488,454
417 807,275,70,290,738
418 467,730,432,26,624
419 661,748,738,899,64
420 377,841,356,143,856
421 369,813,502,489,587
422 115,913,538,352,421
423 729,258,589,856,356
424 892,313,716,194,398
425 461,791,755,740,853
426 547,111,673,149,574
427 469,321,312,840,474
428 806,738,407,521,484
429 293,896,94,429,916
430 884,565,585,855,861
431 386,55,513,852,359
432 750,853,755,529,587
433 881,892,313,194,716
434 249,327,889,916,429
435 410,229,112,616,827
436 287,32,432,26,793
437 597,770,265,759,703
438 338,321,18,474,840
439 580,714,168,938,141
440 200,472,394,109,301
441 162,55,386,37,217
442 736,464,116,782,853
443 929,350,890,694,326
444 511,33,783,853,489
445 857,170,510,824,155
446 223,141,938,168,552
447 619,217,37,671,600
448 474,271,716,151,18
449 64,933,301,109,457
450 298,716,313,194,892
451 673,111,784,171,574
452 354,18,151,474,716
453 458,666,474,271,716
454 7,650,843,313,716
455 55,386,513,852,359
456 312,840,932,716,60
457 427,173,451,587,489
458 131,590,733,460,634
459 743,446,173,755,853
460 841,356,143,856,112
461 210,643,407,650,313
462 936,486,624,104,26
463 8,197,600,826,600
464 762,651,446,173,47
465 827,616,112,404,856
466 2,701,931,413,834
467 655,201,327,537,561
468 129,171,784,284,574
469 150,470,789,467,490
470 222,109,92,457,301
471 168,938,141,26,552
472 845,284,574,171,784
473 623,215,638,830,650
474 18,151,716,474,271
475 352,421,96,538,913
476 513,386,852,359,549
477 943,933,109,301,56
478 486,936,624,104,26
479 330,716,313,194,311
480 568,90,18,321,474
481 802,367,814,604,368
482 503,18,354,151,474
483 451,489,587,853,529
484 815,843,650,313,7
485 1,738,44,301,864
486 268,497,727,435,417
487 519,489,587,451,724
488 485,547,111,673,149
489 695,820,105,898,408
490 442,709,586,933,394
491 422,367,368,604,814
492 683,112,616,856,356
493 381,189,840,312,848
494 604,814,366,368,367
495 783,511,33,853,489
496 823,301,194,864,457
497 900,518,349,634,906
498 26,432,938,141,168
499 843,650,7,313,716
500 892,313,716,194,398
501 88,147,787,284,784
502 446,853,755,173,451
503 356,856,143,112,616
504 59,537,474,271,308
505 537,474,59,271,308
506 508,738,407,650,843
507 754,935,120,438,66
508 746,37,217,619,600
509 224,721,451,173,587
510 219,163,827,616,112
511 349,518,634,938,168
512 278,485,146,673,926
513 639,354,18,151,474
514 253,850,538,488,64
515 633,538,786,738,484
516 7,650,843,313,716
517 277,789,432,26,703
518 275,807,70,290,738
519 341,511,783,33,853
520 103,513,759,386,714
521 939,891,935,120,438
522 173,451,587,489,853
523 106,65,271,474,18
524 750,853,755,529,587
525 861,909,884,585,565
526 157,637,634,26,938
527 915,920,784,284,574
528 586,709,442,933,394
529 846,311,194,313,716
530 630,168,938,141,552
531 155,791,446,431,755
532 352,421,96,538,913
533 524,474,537,59,308
534 928,392,902,464,116
535 656,229,673,574,784
536 447,297,178,606,347
537 62,457,378,864,92
538 316,233,18,474,271
539 449,884,565,585,855
540 531,351,589,724,489
541 243,106,65,18,271
542 255,21,802,367,814
543 25,913,748,738,899
544 852,513,386,359,549
545 477,904,914,89,904
546 38,642,472,222,109
547 422,367,368,604,814
548 893,938,26,403,703
549 240,616,827,112,404
550 453,216,632,864,618
551 802,367,814,604,368
552 752,863,724,489,587
553 635,853,451,587,489
554 566,301,194,892,313
555 129,171,784,284,574
556 368,367,604,814,366
557 806,738,407,521,484
558 883,299,18,354,151
559 92,457,864,378,222
560 240,616,827,112,404
561 771,654,43,344,345
562 240,616,827,112,404
563 571,908,753,748,666
564 746,37,217,619,600
565 613,322,710,686,929
566 850,538,632,230,64
567 454,716,474,151,271
568 218,315,264,361,327
569 89,361,503,18,151
570 526,324,624,104,294
571 737,73,748,867,913
572 200,472,394,109,301
573 803,446,755,853,587
574 10,474,308,716,234
575 689,714,432,66,26
576 807,275,70,290,738
577 625,479,899,738,748
578 916,94,429,293,896
579 97,748,738,899,64
580 210,643,407,650,313
581 455,378,457,864,92
582 648,804,881,650,313
583 268,497,727,435,417
584 381,189,840,312,848
585 656,229,673,574,784
586 595,938,141,26,634
587 395,549,231,714,674
588 761,703,938,168,403
589 32,432,26,793,938
590 330,716,313,194,311
591 763,18,151,716,474
592 386,55,513,852,359
593 884,565,585,855,861
594 239,840,312,932,474
595 278,485,146,673,926
596 183,127,702,603,127
597 587,489,451,853,529
598 29,827,404,112,616
599 153,8,197,826,600
600 577,864,378,457,92
601 93,636,703,168,938
602 622,301,222,109,92
603 141,938,26,552,168
604 647,484,705,56,109
605 164,396,190,938,141
606 738,44,290,804,650
607 277,789,432,26,703
608 413,735,104,624,526
609 828,894,585,565,884
610 791,755,446,853,173
611 442,709,586,933,394
612 740,812,853,510,451
613 891,935,120,438,66
614 538,786,738,64,484
615 917,768,104,624,26
616 312,840,932,716,60
617 103,513,759,386,714
618 449,884,565,585,855
619 147,284,784,171,574
620 572,192,569,63,486
621 313,716,194,892,398
622 893,938,26,403,703
623 924,538,786,738,488
624 97,748,738,899,64
625 500,457,378,92,864
626 441,834,26,432,104
627 31,567,6,474,716
628 144,178,606,347,249
629 67,614,938,168,141
630 488,263,454,716,313
631 247,730,689,432,714
632 458,666,474,271,716
633 637,634,938,26,141
634 780,298,694,716,313
635 495,843,650,7,313
636 388,703,432,26,938
637 339,561,406,308,59
638 876,123,316,6,10
639 283,579,476,336,125
640 233,18,474,271,716
641 357,101,552,938,168
642 704,312,840,932,716
643 390,735,791,413,324
644 477,904,914,89,904
645 822,865,779,689,938
646 643,301,804,650,313
647 352,421,96,538,913
648 816,772,317,362,853
649 658,402,490,703,277
650 615,187,85,18,840
651 661,748,738,899,64
652 336,476,125,542,87
653 864,378,457,92,222
654 694,716,313,60,650
655 158,638,22,746,600
656 674,879,800,231,714
657 511,33,783,853,489
658 683,112,616,856,356
659 334,758,293,429,308
660 843,650,7,313,716
661 40,574,149,673,784
662 724,863,489,587,451
663 366,814,604,368,367
664 729,258,589,856,356
665 465,867,748,488,263
666 323,730,432,66,689
667 414,105,820,898,408
668 788,328,627,551,896
669 544,400,589,853,529
670 840,848,312,716,60
671 894,104,624,526,26
672 18,151,716,474,271
673 857,170,510,824,155
674 116,683,752,112,284
675 68,120,66,935,714
676 755,853,446,173,451
677 776,843,650,7,326
678 607,321,338,18,6
679 823,301,194,864,457
680 333,263,488,454,716
681 663,99,624,104,294
682 546,255,814,367,366
683 814,604,366,368,367
684 390,735,791,413,324
685 498,215,64,738,44
686 624,104,26,432,938
687 531,351,589,724,489
688 746,37,217,619,600
689 232,913,6,474,271
690 721,451,173,587,489
691 647,484,705,56,109
692 395,549,231,714,674
693 410,229,112,616,827
694 301,682,551,276,222
695 569,26,938,634,141
696 725,743,446,853,755
697 208,481,591,398,716
698 224,721,451,173,587
699 266,735,413,569,104
700 778,124,738,521,484
701 912,398,716,313,194
702 339,561,406,308,59
703 214,6,474,18,271
704 738,44,290,804,650
705 224,721,451,173,587
706 836,781,710,177,214
707 527,840,666,474,308
708 433,431,446,853,755
709 270,361,437,503,18
710 899,738,484,521,757
711 262,43,378,864,457
712 894,104,624,526,26
713 6,474,271,716,18
714 641,567,6,553,312
715 808,544,853,772,784
716 495,843,650,7,313
717 520,258,126,856,112
718 258,589,856,356,143
719 170,510,812,853,451
720 901,290,881,892,313
721 486,936,624,104,26
722 731,398,716,313,194
723 171,574,284,784,775
724 214,6,474,18,271
725 761,703,938,168,403
726 164,396,190,938,141
727 105,820,384,898,408
728 119,99,663,624,104
729 692,579,283,476,336
730 616,112,856,356,827
731 79,662,735,266,413
732 434,348,101,938,168
733 818,229,656,112,616
734 778,124,738,521,484
735 136,558,937,131,460
736 283,579,476,336,125
737 904,477,914,89,477
738 772,362,317,816,853
739 237,527,840,312,666
740 680,730,432,26,703
741 808,544,853,772,784
742 367,368,604,814,366
743 658,402,490,703,277
744 17,540,26,634,938
745 542,933,301,109,222
746 51,734,850,488,538
747 179,915,284,784,574
748 671,217,37,619,600
749 255,21,802,367,814
750 640,543,305,327,514
751 568,90,18,321,474
752 784,772,112,856,616
753 820,384,898,408,105
754 342,592,854,249,327
755 747,234,474,716,151
756 847,897,882,290,804
757 899,738,484,521,757
758 389,398,716,313,194
759 388,703,432,26,938
760 315,218,264,361,327
761 71,382,123,6,474
762 508,738,407,650,843
763 575,700,745,908,96
764 455,378,457,864,92
765 627,788,328,551,896
766 734,850,538,488,454
767 821,764,554,82,533
768 500,457,378,92,864
769 78,192,365,63,486
770 854,592,249,606,178
771 900,518,349,634,906
772 780,298,694,716,313
773 587,489,451,853,529
774 373,95,311,194,313
775 781,177,710,629,488
776 893,938,26,403,703
777 842,105,820,898,408
778 689,714,432,66,26
779 68,120,66,935,714
780 785,739,867,538,748
781 571,908,753,748,666
782 37,217,619,671,600
783 658,402,490,703,277
784 556,836,781,710,875
785 511,33,783,853,489
786 192,572,569,63,486
787 13,102,425,197,826
788 69,32,793,26,432
789 452,474,716,308,18
790 379,326,313,650,716
791 412,97,738,748,899
792 245,938,168,141,552
793 836,781,710,177,214
794 485,547,111,673,149
795 935,438,120,66,714
796 158,638,22,746,600
797 884,565,585,855,861
798 415,166,205,258,856
799 600,826,197,8,826
800 681,34,515,281,589
801 45,101,938,168,714
802 8,197,600,826,600
803 173,451,587,489,853
804 929,350,890,694,326
805 179,915,284,784,574
806 303,276,92,222,109
807 831,353,784,544,853
808 849,20,117,347,521
809 701,2,931,413,834
810 286,417,268,276,92
811 699,26,938,634,569
812 544,400,589,853,529
813 643,301,804,650,313
814 270,361,437,503,18
815 677,17,540,26,634
816 330,716,313,194,311
817 266,735,413,569,104
818 5,56,933,109,222
819 178,551,682,301,222
820 742,432,26,66,714
821 17,540,26,634,938
822 256,332,374,92,109
823 567,312,932,840,474
824 319,241,920,284,784
825 902,464,791,446,853
826 538,786,738,64,484
827 701,2,931,413,834
828 553,312,840,716,474
829 140,824,155,791,173
830 304,502,33,589,853
831 64,933,301,109,457
832 752,863,724,489,587
833 177,327,249,305,889
834 32,432,26,793,938
835 339,561,406,308,59
836 105,820,384,898,408
837 270,361,437,503,18
838 770,432,26,938,703
839 200,472,394,109,301
840 757,715,487,301,682
841 187,615,85,18,840
842 496,295,815,495,843
843 584,127,702,603,127
844 427,173,451,587,489
845 497,394,472,109,222
846 446,853,755,173,451
847 596,832,510,812,853
848 360,296,6,474,271
849 59,537,474,271,308
850 554,764,378,864,457
851 399,276,301,682,551
852 222,109,92,457,301
853 93,636,703,168,938
854 580,714,168,938,141
855 688,589,724,863,489
856 166,258,856,356,143
857 65,271,474,716,151
858 95,311,194,846,313
859 784,772,112,856,616
860 548,26,938,141,168
861 744,322,710,929,350
862 895,517,759,703,265
863 648,804,881,650,313
864 887,882,897,200,290
865 837,708,938,168,141
866 930,768,26,432,938
867 270,361,437,503,18
868 647,484,705,56,109
869 137,251,714,580,168
870 340,786,897,882,230
871 137,251,714,580,168
872 63,569,26,634,938
873 189,381,840,312,848
874 76,177,214,327,249
875 461,791,755,740,853
876 748,867,488,263,538
877 184,269,85,406,151
878 115,913,538,352,421
879 418,616,112,784,353
880 908,96,421,352,538
881 204,47,926,171,673
882 708,938,168,141,26
883 918,18,151,716,474
884 357,101,552,938,168
885 228,827,404,616,112
886 811,400,515,589,258
887 155,791,446,431,755
888 274,168,938,714,403
889 890,350,843,650,313
890 555,569,26,634,938
891 255,21,802,367,814
892 701,2,931,413,834
893 438,935,120,66,714
894 147,284,784,171,574
895 392,116,464,683,853
896 924,538,786,738,488
897 299,354,18,151,474
898 394,472,497,109,222
899 631,258,589,281,515
900 889,916,429,94,293
901 628,853,446,173,451
902 825,938,26,141,634
903 179,915,284,784,574
904 782,489,587,451,724
905 236,298,716,313,194
906 835,693,716,313,694
907 832,510,170,853,812
908 79,662,735,266,413
909 646,258,589,856,515
910 889,916,429,94,293
911 856,356,143,112,616
912 248,177,867,538,748
913 748,867,488,263,538
914 891,935,120,438,66
915 537,474,59,271,308
916 920,915,784,284,574
917 229,410,112,616,827
918 508,738,407,650,843
919 351,589,853,755,587
920 882,897,200,881,892
921 285,669,748,867,913
922 547,111,673,149,574
923 445,294,54,938,26
924 859,869,45,525,938
925 760,904,477,274,593
926 893,938,26,403,703
927 118,367,368,604,814
928 465,867,748,488,263
929 208,481,591,398,716
930 360,296,6,474,271
931 451,489,587,853,529
932 44,738,290,804,650
933 797,482,791,400,755
934 380,85,18,151,716
935 215,44,738,290,843
936 148,97,748,738,913
937 592,854,249,606,178
938 634,26,938,141,168
939 84,938,168,141,714
940 407,650,843,313,326
941 35,853,451,587,489
942 800,879,674,231,714
943 281,589,853,544,755
944 305,327,514,64,823
945 266,735,413,569,104
946 245,938,168,141,552
947 461,791,755,740,853
948 623,215,638,830,650
949 255,21,802,367,814
950 608,535,474,18,537
951 929,350,890,694,326
952 874,266,558,136,131
953 113,173,451,489,587
954 317,362,772,816,853
955 385,308,406,59,474
956 749,804,650,313,716
957 279,268,727,497,435
958 123,316,233,6,18
959 801,812,853,510,170
960 689,714,432,66,26
961 632,618,864,301,457
962 627,788,328,551,896
963 288,488,263,91,313
964 832,510,170,853,812
965 120,935,438,66,714
966 484,705,746,757,394
967 601,887,882,897,200
968 839,703,403,938,26
969 133,353,784,616,112
970 472,394,497,109,222
971 374,92,109,222,457
972 104,624,26,432,938
973 100,863,489,587,724
974 453,216,632,864,618
975 865,357,101,938,168
976 519,489,587,451,724
977 729,258,589,856,356
978 883,299,18,354,151
979 852,513,386,359,549
980 940,913,538,738,748
981 182,703,432,26,938
982 10,474,308,716,234
983 924,538,786,738,488
984 419,360,6,567,840
985 709,37,217,619,671
986 92,457,864,378,222
987 570,47,173,446,451
988 515,258,589,281,853
989 832,510,170,853,812
990 781,177,710,629,488
991 206,863,724,752,587
992 283,579,476,336,125
993 311,846,194,313,716
994 318,210,194,398,716
995 707,354,18,151,474
996 653,109,933,301,222
997 720,273,111,673,574
998 126,258,589,856,772
999 296,6,474,271,18
